"nombre","apellidos","dniNie","telefono","birthDate","courseName"
"Noa","Serrano Jiménez","33698767H","620045621","2009-04-08","2ESO-1"
"Diego","Mora Flores","33798758M","620045954","2010-07-15","2ESO-2"
"Alba","Díaz Fernández","33898749S","620046287","2011-10-22","2ESO-3"
"Iván","Molina Vargas","33998740W","620046620","2012-01-01","2ESO-4"
"Irene","Flores López","34098731N","620046953","2009-04-08","3ESO-1"
"Rafael","López Ruiz","34198722E","620047286","2010-07-15","3ESO-2"
"Leire","Gutiérrez Reyes","34298713D","620047619","2011-10-22","3ESO-3"
"Rubén","Ramos Gutiérrez","34398704L","620047952","2012-01-01","3ESO-4"
"Marina","Muñoz Cabrera","34498695Y","620048285","2009-04-08","4ESO-1"
"Gonzalo","Rodríguez Gómez","34598686Q","620048618","2010-07-15","4ESO-2"
"Carla","Domínguez Ramos","34698677A","620048951","2011-10-22","4ESO-3"
"Raúl","Medina Martínez","34798668J","620049284","2012-01-01","4ESO-4"
"Inés","Cruz Moreno","34898659T","620049617","2009-04-08","1BACH-1"
"Alberto","Romero Muñoz","34998650X","620049950","2010-07-15","1BACH-2"
"Sofía","Blanco Álvarez","35098641C","620050283","2011-10-22","1BACH-3"
"Daniel","Fuentes Santos","35198632F","620050616","2012-01-01","2BACH-1"
"Paula","Sánchez Rodríguez","35298623V","620050949","2009-04-08","2BACH-2"
"Adrián","Jiménez Suárez","35398614G","620051282","2010-07-15","2BACH-3"
"Lucía","Vargas García","35498605Z","620051615","2011-10-22","1ESO-1"
"Hugo","Reyes Domínguez","35598596R","620051948","2012-01-01","1ESO-2"
"Mía","Gómez Vázquez","35698587B","620052281","2009-04-08","1ESO-3"
"Marcos","Moreno Alonso","35798578K","620052614","2010-07-15","1ESO-4"
"Valeria","Santos Medina","35898569P","620052947","2011-10-22","2ESO-1"
"Óscar","García González","35998560H","620053280","2012-01-01","2ESO-2"
"Sara","Alonso Castro","36098551M","620053613","2009-04-08","2ESO-3"
"Alejandro","Castro Cruz","36198542S","620053946","2010-07-15","2ESO-4"
"Emma","Ortega Navarro","36298533W","620054279","2011-10-22","3ESO-1"
"Martín","Pérez Ortega","36398524N","620054612","2012-01-01","3ESO-2"
"Claudia","Torres Romero","36498515E","620054945","2009-04-08","3ESO-3"
"Sergio","Herrera Serrano","36598506D","620055278","2010-07-15","3ESO-4"
"Noa","Delgado Pérez","36698497L","620055611","2011-10-22","4ESO-1"
"Diego","Fernández Blanco","36798488Y","620055944","2012-01-01","4ESO-2"
"Alba","Ruiz Mora","36898479Q","620056277","2009-04-08","4ESO-3"
"Iván","Cabrera Torres","36998470A","620056610","2010-07-15","4ESO-4"
"Irene","Martínez Fuentes","37098461J","620056943","2011-10-22","1BACH-1"
"Rafael","Álvarez Díaz","37198452T","620057276","2012-01-01","1BACH-2"
"Leire","Suárez Herrera","37298443X","620057609","2009-04-08","1BACH-3"
"Rubén","Vázquez Sánchez","37398434C","620057942","2010-07-15","2BACH-1"
"Marina","González Molina","37498425F","620058275","2011-10-22","2BACH-2"
"Gonzalo","Navarro Delgado","37598416V","620058608","2012-01-01","2BACH-3"
"Carla","Serrano Jiménez","37698407G","620058941","2009-04-08","1ESO-1"
"Raúl","Mora Flores","37798398Z","620059274","2010-07-15","1ESO-2"
"Inés","Díaz Fernández","37898389R","620059607","2011-10-22","1ESO-3"
"Alberto","Molina Vargas","37998380B","620059940","2012-01-01","1ESO-4"
"Sofía","Flores López","38098371K","620060273","2009-04-08","2ESO-1"
"Daniel","López Ruiz","38198362P","620060606","2010-07-15","2ESO-2"
"Paula","Gutiérrez Reyes","38298353H","620060939","2011-10-22","2ESO-3"
"Adrián","Ramos Gutiérrez","38398344M","620061272","2012-01-01","2ESO-4"
"Lucía","Muñoz Cabrera","38498335S","620061605","2009-04-08","3ESO-1"
"Hugo","Rodríguez Gómez","38598326W","620061938","2010-07-15","3ESO-2"
"Mía","Domínguez Ramos","38698317N","620062271","2011-10-22","3ESO-3"
"Marcos","Medina Martínez","38798308E","620062604","2012-01-01","3ESO-4"
"Valeria","Cruz Moreno","38898299D","620062937","2009-04-08","4ESO-1"
"Óscar","Romero Muñoz","38998290L","620063270","2010-07-15","4ESO-2"
"Sara","Blanco Álvarez","39098281Y","620063603","2011-10-22","4ESO-3"
"Alejandro","Fuentes Santos","39198272Q","620063936","2012-01-01","4ESO-4"
"Emma","Sánchez Rodríguez","39298263A","620064269","2009-04-08","1BACH-1"
"Martín","Jiménez Suárez","39398254J","620064602","2010-07-15","1BACH-2"
"Claudia","Vargas García","39498245T","620064935","2011-10-22","1BACH-3"
"Sergio","Reyes Domínguez","39598236X","620065268","2012-01-01","2BACH-1"
"Noa","Gómez Vázquez","39698227C","620065601","2009-04-08","2BACH-2"
"Diego","Moreno Alonso","39798218F","620065934","2010-07-15","2BACH-3"
"Alba","Santos Medina","39898209V","620066267","2011-10-22","1ESO-1"
"Iván","García González","39998200G","620066600","2012-01-01","1ESO-2"
"Irene","Alonso Castro","40098191Z","620066933","2009-04-08","1ESO-3"
"Rafael","Castro Cruz","40198182R","620067266","2010-07-15","1ESO-4"
"Leire","Ortega Navarro","40298173B","620067599","2011-10-22","2ESO-1"
"Rubén","Pérez Ortega","40398164K","620067932","2012-01-01","2ESO-2"
"Marina","Torres Romero","40498155P","620068265","2009-04-08","2ESO-3"
"Gonzalo","Herrera Serrano","40598146H","620068598","2010-07-15","2ESO-4"
"Carla","Delgado Pérez","40698137M","620068931","2011-10-22","3ESO-1"
"Raúl","Fernández Blanco","40798128S","620069264","2012-01-01","3ESO-2"
"Inés","Ruiz Mora","40898119W","620069597","2009-04-08","3ESO-3"
"Alberto","Cabrera Torres","40998110N","620069930","2010-07-15","3ESO-4"
"Sofía","Martínez Fuentes","41098101E","620070263","2011-10-22","4ESO-1"
"Daniel","Álvarez Díaz","41198092D","620070596","2012-01-01","4ESO-2"
"Paula","Suárez Herrera","41298083L","620070929","2009-04-08","4ESO-3"
"Adrián","Vázquez Sánchez","41398074Y","620071262","2010-07-15","4ESO-4"
"Lucía","González Molina","41498065Q","620071595","2011-10-22","1BACH-1"
"Hugo","Navarro Delgado","41598056A","620071928","2012-01-01","1BACH-2"
"Mía","Serrano Jiménez","41698047J","620072261","2009-04-08","1BACH-3"
"Marcos","Mora Flores","41798038T","620072594","2010-07-15","2BACH-1"
"Valeria","Díaz Fernández","41898029X","620072927","2011-10-22","2BACH-2"
"Óscar","Molina Vargas","41998020C","620073260","2012-01-01","2BACH-3"
"Sara","Flores López","42098011F","620073593","2009-04-08","1ESO-1"
"Alejandro","López Ruiz","42198002V","620073926","2010-07-15","1ESO-2"
"Emma","Gutiérrez Reyes","42297993G","620074259","2011-10-22","1ESO-3"
"Martín","Ramos Gutiérrez","42397984Z","620074592","2012-01-01","1ESO-4"
"Claudia","Muñoz Cabrera","42497975R","620074925","2009-04-08","2ESO-1"
"Sergio","Rodríguez Gómez","42597966B","620075258","2010-07-15","2ESO-2"
"Noa","Domínguez Ramos","42697957K","620075591","2011-10-22","2ESO-3"
"Diego","Medina Martínez","42797948P","620075924","2012-01-01","2ESO-4"
"Alba","Cruz Moreno","42897939H","620076257","2009-04-08","3ESO-1"
"Iván","Romero Muñoz","42997930M","620076590","2010-07-15","3ESO-2"
"Irene","Blanco Álvarez","43097921S","620076923","2011-10-22","3ESO-3"
"Rafael","Fuentes Santos","43197912W","620077256","2012-01-01","3ESO-4"
"Leire","Sánchez Rodríguez","43297903N","620077589","2009-04-08","4ESO-1"
"Rubén","Jiménez Suárez","43397894E","620077922","2010-07-15","4ESO-2"
"Marina","Vargas García","43497885D","620078255","2011-10-22","4ESO-3"
"Gonzalo","Reyes Domínguez","43597876L","620078588","2012-01-01","4ESO-4"
"Carla","Gómez Vázquez","43697867Y","620078921","2009-04-08","1BACH-1"
"Raúl","Moreno Alonso","43797858Q","620079254","2010-07-15","1BACH-2"
"Inés","Santos Medina","43897849A","620079587","2011-10-22","1BACH-3"
"Alberto","García González","43997840J","620079920","2012-01-01","2BACH-1"
"Sofía","Alonso Castro","44097831T","620080253","2009-04-08","2BACH-2"
"Daniel","Castro Cruz","44197822X","620080586","2010-07-15","2BACH-3"
"Paula","Ortega Navarro","44297813C","620080919","2011-10-22","1ESO-1"
"Adrián","Pérez Ortega","44397804F","620081252","2012-01-01","1ESO-2"
"Lucía","Torres Romero","44497795V","620081585","2009-04-08","1ESO-3"
"Hugo","Herrera Serrano","44597786G","620081918","2010-07-15","1ESO-4"
"Mía","Delgado Pérez","44697777Z","620082251","2011-10-22","2ESO-1"
"Marcos","Fernández Blanco","44797768R","620082584","2012-01-01","2ESO-2"
"Valeria","Ruiz Mora","44897759B","620082917","2009-04-08","2ESO-3"
"Óscar","Cabrera Torres","44997750K","620083250","2010-07-15","2ESO-4"
"Sara","Martínez Fuentes","45097741P","620083583","2011-10-22","3ESO-1"
"Alejandro","Álvarez Díaz","45197732H","620083916","2012-01-01","3ESO-2"
"Emma","Suárez Herrera","45297723M","620084249","2009-04-08","3ESO-3"
"Martín","Vázquez Sánchez","45397714S","620084582","2010-07-15","3ESO-4"
"Claudia","González Molina","45497705W","620084915","2011-10-22","4ESO-1"
"Sergio","Navarro Delgado","45597696N","620085248","2012-01-01","4ESO-2"
"Noa","Serrano Jiménez","45697687E","620085581","2009-04-08","4ESO-3"
"Diego","Mora Flores","45797678D","620085914","2010-07-15","4ESO-4"
"Alba","Díaz Fernández","45897669L","620086247","2011-10-22","1BACH-1"
"Iván","Molina Vargas","45997660Y","620086580","2012-01-01","1BACH-2"
"Irene","Flores López","46097651Q","620086913","2009-04-08","1BACH-3"
"Rafael","López Ruiz","46197642A","620087246","2010-07-15","2BACH-1"
"Leire","Gutiérrez Reyes","46297633J","620087579","2011-10-22","2BACH-2"
"Rubén","Ramos Gutiérrez","46397624T","620087912","2012-01-01","2BACH-3"
"Marina","Muñoz Cabrera","46497615X","620088245","2009-04-08","1ESO-1"
"Gonzalo","Rodríguez Gómez","46597606C","620088578","2010-07-15","1ESO-2"
"Carla","Domínguez Ramos","46697597F","620088911","2011-10-22","1ESO-3"
"Raúl","Medina Martínez","46797588V","620089244","2012-01-01","1ESO-4"
"Inés","Cruz Moreno","46897579G","620089577","2009-04-08","2ESO-1"
"Alberto","Romero Muñoz","46997570Z","620089910","2010-07-15","2ESO-2"
"Sofía","Blanco Álvarez","47097561R","620090243","2011-10-22","2ESO-3"
"Daniel","Fuentes Santos","47197552B","620090576","2012-01-01","2ESO-4"
"Paula","Sánchez Rodríguez","47297543K","620090909","2009-04-08","3ESO-1"
"Adrián","Jiménez Suárez","47397534P","620091242","2010-07-15","3ESO-2"
"Lucía","Vargas García","47497525H","620091575","2011-10-22","3ESO-3"
"Hugo","Reyes Domínguez","47597516M","620091908","2012-01-01","3ESO-4"
"Mía","Gómez Vázquez","47697507S","620092241","2009-04-08","4ESO-1"
"Marcos","Moreno Alonso","47797498W","620092574","2010-07-15","4ESO-2"
"Valeria","Santos Medina","47897489N","620092907","2011-10-22","4ESO-3"
"Óscar","García González","47997480E","620093240","2012-01-01","4ESO-4"
"Sara","Alonso Castro","48097471D","620093573","2009-04-08","1BACH-1"
"Alejandro","Castro Cruz","48197462L","620093906","2010-07-15","1BACH-2"
"Emma","Ortega Navarro","48297453Y","620094239","2011-10-22","1BACH-3"
"Martín","Pérez Ortega","48397444Q","620094572","2012-01-01","2BACH-1"
"Claudia","Torres Romero","48497435A","620094905","2009-04-08","2BACH-2"
"Sergio","Herrera Serrano","48597426J","620095238","2010-07-15","2BACH-3"
"Noa","Delgado Pérez","48697417T","620095571","2011-10-22","1ESO-1"
"Diego","Fernández Blanco","48797408X","620095904","2012-01-01","1ESO-2"
"Alba","Ruiz Mora","48897399C","620096237","2009-04-08","1ESO-3"
"Iván","Cabrera Torres","48997390F","620096570","2010-07-15","1ESO-4"
"Irene","Martínez Fuentes","49097381V","620096903","2011-10-22","2ESO-1"
"Rafael","Álvarez Díaz","49197372G","620097236","2012-01-01","2ESO-2"
"Leire","Suárez Herrera","49297363Z","620097569","2009-04-08","2ESO-3"
"Rubén","Vázquez Sánchez","49397354R","620097902","2010-07-15","2ESO-4"
"Marina","González Molina","49497345B","620098235","2011-10-22","3ESO-1"
"Gonzalo","Navarro Delgado","49597336K","620098568","2012-01-01","3ESO-2"
"Carla","Serrano Jiménez","49697327P","620098901","2009-04-08","3ESO-3"
"Raúl","Mora Flores","49797318H","620099234","2010-07-15","3ESO-4"
"Inés","Díaz Fernández","49897309M","620099567","2011-10-22","4ESO-1"
"Alberto","Molina Vargas","49997300S","620099900","2012-01-01","4ESO-2"
"Sofía","Flores López","50097291W","620100233","2009-04-08","4ESO-3"
"Daniel","López Ruiz","50197282N","620100566","2010-07-15","4ESO-4"
"Paula","Gutiérrez Reyes","50297273E","620100899","2011-10-22","1BACH-1"
"Adrián","Ramos Gutiérrez","50397264D","620101232","2012-01-01","1BACH-2"
"Lucía","Muñoz Cabrera","50497255L","620101565","2009-04-08","1BACH-3"
"Hugo","Rodríguez Gómez","50597246Y","620101898","2010-07-15","2BACH-1"
"Mía","Domínguez Ramos","50697237Q","620102231","2011-10-22","2BACH-2"
"Marcos","Medina Martínez","50797228A","620102564","2012-01-01","2BACH-3"
"Valeria","Cruz Moreno","50897219J","620102897","2009-04-08","1ESO-1"
"Óscar","Romero Muñoz","50997210T","620103230","2010-07-15","1ESO-2"
"Sara","Blanco Álvarez","51097201X","620103563","2011-10-22","1ESO-3"
"Alejandro","Fuentes Santos","51197192C","620103896","2012-01-01","1ESO-4"
"Emma","Sánchez Rodríguez","51297183F","620104229","2009-04-08","2ESO-1"
"Martín","Jiménez Suárez","51397174V","620104562","2010-07-15","2ESO-2"
"Claudia","Vargas García","51497165G","620104895","2011-10-22","2ESO-3"
"Sergio","Reyes Domínguez","51597156Z","620105228","2012-01-01","2ESO-4"
"Noa","Gómez Vázquez","51697147R","620105561","2009-04-08","3ESO-1"
"Diego","Moreno Alonso","51797138B","620105894","2010-07-15","3ESO-2"
"Alba","Santos Medina","51897129K","620106227","2011-10-22","3ESO-3"
"Iván","García González","51997120P","620106560","2012-01-01","3ESO-4"
"Irene","Alonso Castro","52097111H","620106893","2009-04-08","4ESO-1"
"Rafael","Castro Cruz","52197102M","620107226","2010-07-15","4ESO-2"
"Leire","Ortega Navarro","52297093S","620107559","2011-10-22","4ESO-3"
"Rubén","Pérez Ortega","52397084W","620107892","2012-01-01","4ESO-4"
"Marina","Torres Romero","52497075N","620108225","2009-04-08","1BACH-1"
"Gonzalo","Herrera Serrano","52597066E","620108558","2010-07-15","1BACH-2"
"Carla","Delgado Pérez","52697057D","620108891","2011-10-22","1BACH-3"
"Raúl","Fernández Blanco","52797048L","620109224","2012-01-01","2BACH-1"
"Inés","Ruiz Mora","52897039Y","620109557","2009-04-08","2BACH-2"
"Alberto","Cabrera Torres","52997030Q","620109890","2010-07-15","2BACH-3"
"Sofía","Martínez Fuentes","53097021A","620110223","2011-10-22","1ESO-1"
"Daniel","Álvarez Díaz","53197012J","620110556","2012-01-01","1ESO-2"
"Paula","Suárez Herrera","53297003T","620110889","2009-04-08","1ESO-3"
"Adrián","Vázquez Sánchez","53396994X","620111222","2010-07-15","1ESO-4"
"Lucía","González Molina","53496985C","620111555","2011-10-22","2ESO-1"
"Hugo","Navarro Delgado","53596976F","620111888","2012-01-01","2ESO-2"
"Mía","Serrano Jiménez","53696967V","620112221","2009-04-08","2ESO-3"
"Marcos","Mora Flores","53796958G","620112554","2010-07-15","2ESO-4"
"Valeria","Díaz Fernández","53896949Z","620112887","2011-10-22","3ESO-1"
"Óscar","Molina Vargas","53996940R","620113220","2012-01-01","3ESO-2"
"Sara","Flores López","54096931B","620113553","2009-04-08","3ESO-3"
"Alejandro","López Ruiz","54196922K","620113886","2010-07-15","3ESO-4"
"Emma","Gutiérrez Reyes","54296913P","620114219","2011-10-22","4ESO-1"
"Martín","Ramos Gutiérrez","54396904H","620114552","2012-01-01","4ESO-2"
"Claudia","Muñoz Cabrera","54496895M","620114885","2009-04-08","4ESO-3"
"Sergio","Rodríguez Gómez","54596886S","620115218","2010-07-15","4ESO-4"
"Noa","Domínguez Ramos","54696877W","620115551","2011-10-22","1BACH-1"
"Diego","Medina Martínez","54796868N","620115884","2012-01-01","1BACH-2"
"Alba","Cruz Moreno","54896859E","620116217","2009-04-08","1BACH-3"
"Iván","Romero Muñoz","54996850D","620116550","2010-07-15","2BACH-1"
"Irene","Blanco Álvarez","55096841L","620116883","2011-10-22","2BACH-2"
"Rafael","Fuentes Santos","55196832Y","620117216","2012-01-01","2BACH-3"
"Leire","Sánchez Rodríguez","55296823Q","620117549","2009-04-08","1ESO-1"
"Rubén","Jiménez Suárez","55396814A","620117882","2010-07-15","1ESO-2"
"Marina","Vargas García","55496805J","620118215","2011-10-22","1ESO-3"
"Gonzalo","Reyes Domínguez","55596796T","620118548","2012-01-01","1ESO-4"
"Carla","Gómez Vázquez","55696787X","620118881","2009-04-08","2ESO-1"
"Raúl","Moreno Alonso","55796778C","620119214","2010-07-15","2ESO-2"
"Inés","Santos Medina","55896769F","620119547","2011-10-22","2ESO-3"
"Alberto","García González","55996760V","620119880","2012-01-01","2ESO-4"
"Sofía","Alonso Castro","56096751G","620120213","2009-04-08","3ESO-1"
