"profesorCorreo","asignaturaNombre","cursoNombre"
"francisco-ruiz-perez@profesor.juego-02","Matematicas","2ESO-3"
"laura-herrera-dominguez@profesor.juego-02","Lengua","2ESO-3"
"david-ortega-cabrera@profesor.juego-02","Ingles","2ESO-3"
"elena-garcia-sanchez@profesor.juego-02","Fisica","2ESO-3"
"pedro-gomez-navarro@profesor.juego-02","Historia","2ESO-3"
"isabel-jimenez-santos@profesor.juego-02","Tecnologia","2ESO-3"
"javier-blanco-lopez@profesor.juego-02","Matematicas","2ESO-4"
"lucia-medina-torres@profesor.juego-02","Lengua","2ESO-4"
"miguel-munoz-medina@profesor.juego-02","Ingles","2ESO-4"
"rosa-lopez-martinez@profesor.juego-02","Fisica","2ESO-4"
"carlos-diaz-jimenez@profesor.juego-02","Historia","2ESO-4"
"marta-navarro-serrano@profesor.juego-02","Tecnologia","2ESO-4"
"alvaro-suarez-garcia@profesor.juego-02","Matematicas","3ESO-1"
"beatriz-cabrera-gutierrez@profesor.juego-02","Lengua","3ESO-1"
"alejandro-delgado-herrera@profesor.juego-02","Ingles","3ESO-1"
"nuria-perez-cruz@profesor.juego-02","Fisica","3ESO-1"
"roberto-alonso-alvarez@profesor.juego-02","Historia","3ESO-1"
"sandra-moreno-vargas@profesor.juego-02","Tecnologia","3ESO-1"
"pablo-vargas-mora@profesor.juego-02","Matematicas","3ESO-2"
"cristina-fuentes-alonso@profesor.juego-02","Lengua","3ESO-2"
"fernando-cruz-ramos@profesor.juego-02","Ingles","3ESO-2"
"patricia-rodriguez-delgado@profesor.juego-02","Fisica","3ESO-2"
"andres-gutierrez-romero@profesor.juego-02","Historia","3ESO-2"
"pilar-molina-suarez@profesor.juego-02","Tecnologia","3ESO-2"
"antonio-serrano-reyes@profesor.juego-02","Matematicas","3ESO-3"
"maria-vazquez-diaz@profesor.juego-02","Lengua","3ESO-3"
"jose-martinez-castro@profesor.juego-02","Ingles","3ESO-3"
"carmen-fernandez-munoz@profesor.juego-02","Fisica","3ESO-3"
"manuel-torres-fernandez@profesor.juego-02","Historia","3ESO-3"
"ana-castro-blanco@profesor.juego-02","Tecnologia","3ESO-3"
"francisco-santos-vazquez@profesor.juego-02","Matematicas","3ESO-4"
"laura-reyes-gomez@profesor.juego-02","Lengua","3ESO-4"
"david-sanchez-molina@profesor.juego-02","Ingles","3ESO-4"
"elena-romero-ortega@profesor.juego-02","Fisica","3ESO-4"
"pedro-dominguez-rodriguez@profesor.juego-02","Historia","3ESO-4"
"isabel-ramos-ruiz@profesor.juego-02","Tecnologia","3ESO-4"
"javier-flores-fuentes@profesor.juego-02","Matematicas","4ESO-1"
"lucia-mora-gonzalez@profesor.juego-02","Lengua","4ESO-1"
"miguel-gonzalez-moreno@profesor.juego-02","Ingles","4ESO-1"
"rosa-alvarez-flores@profesor.juego-02","Fisica","4ESO-1"
"carlos-ruiz-perez@profesor.juego-02","Historia","4ESO-1"
"marta-herrera-dominguez@profesor.juego-02","Tecnologia","4ESO-1"
"alvaro-ortega-cabrera@profesor.juego-02","Matematicas","4ESO-2"
"beatriz-garcia-sanchez@profesor.juego-02","Lengua","4ESO-2"
"alejandro-gomez-navarro@profesor.juego-02","Ingles","4ESO-2"
"nuria-jimenez-santos@profesor.juego-02","Fisica","4ESO-2"
"roberto-blanco-lopez@profesor.juego-02","Historia","4ESO-2"
"sandra-medina-torres@profesor.juego-02","Tecnologia","4ESO-2"
"pablo-munoz-medina@profesor.juego-02","Matematicas","4ESO-3"
"cristina-lopez-martinez@profesor.juego-02","Lengua","4ESO-3"
"fernando-diaz-jimenez@profesor.juego-02","Ingles","4ESO-3"
"patricia-navarro-serrano@profesor.juego-02","Fisica","4ESO-3"
"andres-suarez-garcia@profesor.juego-02","Historia","4ESO-3"
"pilar-cabrera-gutierrez@profesor.juego-02","Tecnologia","4ESO-3"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","4ESO-4"
"maria-jimenez-santos@profesor.juego-02","Lengua","4ESO-4"
"jose-blanco-lopez@profesor.juego-02","Ingles","4ESO-4"
"carmen-medina-torres@profesor.juego-02","Fisica","4ESO-4"
"manuel-munoz-medina@profesor.juego-02","Historia","4ESO-4"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","4ESO-4"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1BACH-1"
"laura-navarro-serrano@profesor.juego-02","Lengua","1BACH-1"
"david-suarez-garcia@profesor.juego-02","Ingles","1BACH-1"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1BACH-1"
"pedro-delgado-herrera@profesor.juego-02","Historia","1BACH-1"
"isabel-perez-cruz@profesor.juego-02","Tecnologia","1BACH-1"
"javier-alonso-alvarez@profesor.juego-02","Matematicas","1BACH-2"
"lucia-moreno-vargas@profesor.juego-02","Lengua","1BACH-2"
"miguel-vargas-mora@profesor.juego-02","Ingles","1BACH-2"
"rosa-fuentes-alonso@profesor.juego-02","Fisica","1BACH-2"
"carlos-cruz-ramos@profesor.juego-02","Historia","1BACH-2"
"marta-rodriguez-delgado@profesor.juego-02","Tecnologia","1BACH-2"
"alvaro-gutierrez-romero@profesor.juego-02","Matematicas","1BACH-3"
"beatriz-molina-suarez@profesor.juego-02","Lengua","1BACH-3"
"alejandro-serrano-reyes@profesor.juego-02","Ingles","1BACH-3"
"nuria-vazquez-diaz@profesor.juego-02","Fisica","1BACH-3"
"roberto-martinez-castro@profesor.juego-02","Historia","1BACH-3"
"sandra-fernandez-munoz@profesor.juego-02","Tecnologia","1BACH-3"
"pablo-torres-fernandez@profesor.juego-02","Matematicas","2BACH-1"
"cristina-castro-blanco@profesor.juego-02","Lengua","2BACH-1"
"fernando-santos-vazquez@profesor.juego-02","Ingles","2BACH-1"
"patricia-reyes-gomez@profesor.juego-02","Fisica","2BACH-1"
"andres-sanchez-molina@profesor.juego-02","Historia","2BACH-1"
"pilar-romero-ortega@profesor.juego-02","Tecnologia","2BACH-1"
"antonio-dominguez-rodriguez@profesor.juego-02","Matematicas","2BACH-2"
"maria-ramos-ruiz@profesor.juego-02","Lengua","2BACH-2"
"jose-flores-fuentes@profesor.juego-02","Ingles","2BACH-2"
"carmen-mora-gonzalez@profesor.juego-02","Fisica","2BACH-2"
"manuel-gonzalez-moreno@profesor.juego-02","Historia","2BACH-2"
"ana-alvarez-flores@profesor.juego-02","Tecnologia","2BACH-2"
"francisco-ruiz-perez@profesor.juego-02","Matematicas","2BACH-3"
"laura-herrera-dominguez@profesor.juego-02","Lengua","2BACH-3"
"david-ortega-cabrera@profesor.juego-02","Ingles","2BACH-3"
"elena-garcia-sanchez@profesor.juego-02","Fisica","2BACH-3"
"pedro-gomez-navarro@profesor.juego-02","Historia","2BACH-3"
"isabel-jimenez-santos@profesor.juego-02","Tecnologia","2BACH-3"
