"profesorCorreo","estudianteCorreo","asignaturaNombre","cursoNombre","trimestre","tareaNombre","valor"
"laura-navarro-serrano@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Lengua","1ESO-2","2","Evaluacion T2","4.21"
"laura-navarro-serrano@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Lengua","1ESO-2","3","Evaluacion T3","3.56"
"david-suarez-garcia@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Ingles","1ESO-2","1","Evaluacion T1","4.69"
"david-suarez-garcia@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Ingles","1ESO-2","2","Evaluacion T2","10.00"
"david-suarez-garcia@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Ingles","1ESO-2","3","Evaluacion T3","9.10"
"elena-cabrera-gutierrez@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Fisica","1ESO-2","1","Evaluacion T1","3.32"
"elena-cabrera-gutierrez@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Fisica","1ESO-2","2","Evaluacion T2","4.29"
"elena-cabrera-gutierrez@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Fisica","1ESO-2","3","Evaluacion T3","9.02"
"pedro-delgado-herrera@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Historia","1ESO-2","1","Evaluacion T1","4.33"
"pedro-delgado-herrera@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Historia","1ESO-2","2","Evaluacion T2","4.17"
"pedro-delgado-herrera@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Historia","1ESO-2","3","Evaluacion T3","7.28"
"isabel-perez-cruz@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Tecnologia","1ESO-2","1","Evaluacion T1","10.00"
"isabel-perez-cruz@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Tecnologia","1ESO-2","2","Evaluacion T2","10.00"
"isabel-perez-cruz@profesor.juego-02","daniel-castro-cruz@alumno.juego-02","Tecnologia","1ESO-2","3","Evaluacion T3","9.46"
"javier-alonso-alvarez@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Matematicas","1ESO-3","1","Evaluacion T1","8.57"
"javier-alonso-alvarez@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Matematicas","1ESO-3","2","Evaluacion T2","9.74"
"javier-alonso-alvarez@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Matematicas","1ESO-3","3","Evaluacion T3","5.86"
"lucia-moreno-vargas@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Lengua","1ESO-3","1","Evaluacion T1","10.00"
"lucia-moreno-vargas@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Lengua","1ESO-3","2","Evaluacion T2","8.05"
"lucia-moreno-vargas@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Lengua","1ESO-3","3","Evaluacion T3","5.94"
"miguel-vargas-mora@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Ingles","1ESO-3","1","Evaluacion T1","3.64"
"miguel-vargas-mora@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Ingles","1ESO-3","2","Evaluacion T2","4.01"
"miguel-vargas-mora@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Ingles","1ESO-3","3","Evaluacion T3","9.70"
"rosa-fuentes-alonso@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Fisica","1ESO-3","1","Evaluacion T1","9.54"
"rosa-fuentes-alonso@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Fisica","1ESO-3","2","Evaluacion T2","6.55"
"rosa-fuentes-alonso@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Fisica","1ESO-3","3","Evaluacion T3","9.94"
"carlos-cruz-ramos@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Historia","1ESO-3","1","Evaluacion T1","5.06"
"carlos-cruz-ramos@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Historia","1ESO-3","2","Evaluacion T2","8.21"
"carlos-cruz-ramos@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Historia","1ESO-3","3","Evaluacion T3","7.40"
"marta-rodriguez-delgado@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Tecnologia","1ESO-3","1","Evaluacion T1","8.85"
"marta-rodriguez-delgado@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Tecnologia","1ESO-3","2","Evaluacion T2","7.84"
"marta-rodriguez-delgado@profesor.juego-02","paula-ortega-navarro@alumno.juego-02","Tecnologia","1ESO-3","3","Evaluacion T3","9.50"
"alvaro-gutierrez-romero@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Matematicas","1ESO-4","1","Evaluacion T1","6.63"
"alvaro-gutierrez-romero@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Matematicas","1ESO-4","2","Evaluacion T2","3.96"
"alvaro-gutierrez-romero@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Matematicas","1ESO-4","3","Evaluacion T3","5.90"
"beatriz-molina-suarez@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Lengua","1ESO-4","1","Evaluacion T1","8.17"
"beatriz-molina-suarez@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Lengua","1ESO-4","2","Evaluacion T2","6.07"
"beatriz-molina-suarez@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Lengua","1ESO-4","3","Evaluacion T3","8.61"
"alejandro-serrano-reyes@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Ingles","1ESO-4","1","Evaluacion T1","4.21"
"alejandro-serrano-reyes@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Ingles","1ESO-4","2","Evaluacion T2","8.05"
"alejandro-serrano-reyes@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Ingles","1ESO-4","3","Evaluacion T3","5.02"
"nuria-vazquez-diaz@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Fisica","1ESO-4","1","Evaluacion T1","8.17"
"nuria-vazquez-diaz@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Fisica","1ESO-4","2","Evaluacion T2","10.00"
"nuria-vazquez-diaz@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Fisica","1ESO-4","3","Evaluacion T3","5.50"
"roberto-martinez-castro@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Historia","1ESO-4","1","Evaluacion T1","8.85"
"roberto-martinez-castro@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Historia","1ESO-4","2","Evaluacion T2","8.13"
"roberto-martinez-castro@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Historia","1ESO-4","3","Evaluacion T3","10.00"
"sandra-fernandez-munoz@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Tecnologia","1ESO-4","1","Evaluacion T1","6.31"
"sandra-fernandez-munoz@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Tecnologia","1ESO-4","2","Evaluacion T2","7.16"
"sandra-fernandez-munoz@profesor.juego-02","adrian-perez-ortega@alumno.juego-02","Tecnologia","1ESO-4","3","Evaluacion T3","6.83"
"pablo-torres-fernandez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Matematicas","2ESO-1","1","Evaluacion T1","7.36"
"pablo-torres-fernandez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Matematicas","2ESO-1","2","Evaluacion T2","7.28"
"pablo-torres-fernandez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Matematicas","2ESO-1","3","Evaluacion T3","5.26"
"cristina-castro-blanco@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Lengua","2ESO-1","1","Evaluacion T1","5.66"
"cristina-castro-blanco@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Lengua","2ESO-1","2","Evaluacion T2","8.05"
"cristina-castro-blanco@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Lengua","2ESO-1","3","Evaluacion T3","6.91"
"fernando-santos-vazquez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Ingles","2ESO-1","1","Evaluacion T1","8.57"
"fernando-santos-vazquez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Ingles","2ESO-1","2","Evaluacion T2","10.00"
"fernando-santos-vazquez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Ingles","2ESO-1","3","Evaluacion T3","8.97"
"patricia-reyes-gomez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Fisica","2ESO-1","1","Evaluacion T1","8.45"
"patricia-reyes-gomez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Fisica","2ESO-1","2","Evaluacion T2","6.79"
"patricia-reyes-gomez@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Fisica","2ESO-1","3","Evaluacion T3","7.56"
"andres-sanchez-molina@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Historia","2ESO-1","1","Evaluacion T1","7.56"
"andres-sanchez-molina@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Historia","2ESO-1","2","Evaluacion T2","5.58"
"andres-sanchez-molina@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Historia","2ESO-1","3","Evaluacion T3","10.00"
"pilar-romero-ortega@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Tecnologia","2ESO-1","1","Evaluacion T1","8.65"
"pilar-romero-ortega@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Tecnologia","2ESO-1","2","Evaluacion T2","6.07"
"pilar-romero-ortega@profesor.juego-02","lucia-torres-romero@alumno.juego-02","Tecnologia","2ESO-1","3","Evaluacion T3","5.30"
"antonio-dominguez-rodriguez@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Matematicas","2ESO-2","1","Evaluacion T1","9.22"
"antonio-dominguez-rodriguez@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Matematicas","2ESO-2","2","Evaluacion T2","5.98"
"antonio-dominguez-rodriguez@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Matematicas","2ESO-2","3","Evaluacion T3","5.94"
"maria-ramos-ruiz@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Lengua","2ESO-2","1","Evaluacion T1","9.66"
"maria-ramos-ruiz@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Lengua","2ESO-2","2","Evaluacion T2","4.21"
"maria-ramos-ruiz@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Lengua","2ESO-2","3","Evaluacion T3","7.16"
"jose-flores-fuentes@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Ingles","2ESO-2","1","Evaluacion T1","7.76"
"jose-flores-fuentes@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Ingles","2ESO-2","2","Evaluacion T2","9.86"
"jose-flores-fuentes@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Ingles","2ESO-2","3","Evaluacion T3","9.70"
"carmen-mora-gonzalez@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Fisica","2ESO-2","1","Evaluacion T1","9.38"
"carmen-mora-gonzalez@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Fisica","2ESO-2","2","Evaluacion T2","7.96"
"carmen-mora-gonzalez@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Fisica","2ESO-2","3","Evaluacion T3","10.00"
"manuel-gonzalez-moreno@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Historia","2ESO-2","1","Evaluacion T1","9.70"
"manuel-gonzalez-moreno@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Historia","2ESO-2","2","Evaluacion T2","3.48"
"manuel-gonzalez-moreno@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Historia","2ESO-2","3","Evaluacion T3","9.98"
"ana-alvarez-flores@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Tecnologia","2ESO-2","1","Evaluacion T1","9.98"
"ana-alvarez-flores@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Tecnologia","2ESO-2","2","Evaluacion T2","10.00"
"ana-alvarez-flores@profesor.juego-02","hugo-herrera-serrano@alumno.juego-02","Tecnologia","2ESO-2","3","Evaluacion T3","8.61"
"francisco-ruiz-perez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Matematicas","2ESO-3","1","Evaluacion T1","4.41"
"francisco-ruiz-perez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Matematicas","2ESO-3","2","Evaluacion T2","5.30"
"francisco-ruiz-perez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Matematicas","2ESO-3","3","Evaluacion T3","3.48"
"laura-herrera-dominguez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Lengua","2ESO-3","1","Evaluacion T1","9.62"
"laura-herrera-dominguez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Lengua","2ESO-3","2","Evaluacion T2","10.00"
"laura-herrera-dominguez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Lengua","2ESO-3","3","Evaluacion T3","7.68"
"david-ortega-cabrera@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Ingles","2ESO-3","1","Evaluacion T1","7.64"
"david-ortega-cabrera@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Ingles","2ESO-3","2","Evaluacion T2","9.82"
"david-ortega-cabrera@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Ingles","2ESO-3","3","Evaluacion T3","3.92"
"elena-garcia-sanchez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Fisica","2ESO-3","1","Evaluacion T1","3.16"
"elena-garcia-sanchez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Fisica","2ESO-3","2","Evaluacion T2","5.74"
"elena-garcia-sanchez@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Fisica","2ESO-3","3","Evaluacion T3","9.38"
"pedro-gomez-navarro@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Historia","2ESO-3","1","Evaluacion T1","5.54"
"pedro-gomez-navarro@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Historia","2ESO-3","2","Evaluacion T2","3.04"
"pedro-gomez-navarro@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Historia","2ESO-3","3","Evaluacion T3","3.12"
"isabel-jimenez-santos@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Tecnologia","2ESO-3","1","Evaluacion T1","8.81"
"isabel-jimenez-santos@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Tecnologia","2ESO-3","2","Evaluacion T2","3.44"
"isabel-jimenez-santos@profesor.juego-02","mia-delgado-perez@alumno.juego-02","Tecnologia","2ESO-3","3","Evaluacion T3","10.00"
"javier-blanco-lopez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Matematicas","2ESO-4","1","Evaluacion T1","6.95"
"javier-blanco-lopez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Matematicas","2ESO-4","2","Evaluacion T2","6.27"
"javier-blanco-lopez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Matematicas","2ESO-4","3","Evaluacion T3","9.10"
"lucia-medina-torres@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Lengua","2ESO-4","1","Evaluacion T1","9.50"
"lucia-medina-torres@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Lengua","2ESO-4","2","Evaluacion T2","6.71"
"lucia-medina-torres@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Lengua","2ESO-4","3","Evaluacion T3","7.32"
"miguel-munoz-medina@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Ingles","2ESO-4","1","Evaluacion T1","5.82"
"miguel-munoz-medina@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Ingles","2ESO-4","2","Evaluacion T2","9.94"
"miguel-munoz-medina@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Ingles","2ESO-4","3","Evaluacion T3","6.27"
"rosa-lopez-martinez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Fisica","2ESO-4","1","Evaluacion T1","9.54"
"rosa-lopez-martinez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Fisica","2ESO-4","2","Evaluacion T2","9.26"
"rosa-lopez-martinez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Fisica","2ESO-4","3","Evaluacion T3","10.00"
"carlos-diaz-jimenez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Historia","2ESO-4","1","Evaluacion T1","3.64"
"carlos-diaz-jimenez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Historia","2ESO-4","2","Evaluacion T2","7.40"
"carlos-diaz-jimenez@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Historia","2ESO-4","3","Evaluacion T3","5.58"
"marta-navarro-serrano@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Tecnologia","2ESO-4","1","Evaluacion T1","7.72"
"marta-navarro-serrano@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Tecnologia","2ESO-4","2","Evaluacion T2","4.05"
"marta-navarro-serrano@profesor.juego-02","marcos-fernandez-blanco@alumno.juego-02","Tecnologia","2ESO-4","3","Evaluacion T3","6.07"
"alvaro-suarez-garcia@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Matematicas","3ESO-1","1","Evaluacion T1","8.69"
"alvaro-suarez-garcia@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Matematicas","3ESO-1","2","Evaluacion T2","3.96"
"alvaro-suarez-garcia@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Matematicas","3ESO-1","3","Evaluacion T3","9.98"
"beatriz-cabrera-gutierrez@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Lengua","3ESO-1","1","Evaluacion T1","7.72"
"beatriz-cabrera-gutierrez@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Lengua","3ESO-1","2","Evaluacion T2","8.33"
"beatriz-cabrera-gutierrez@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Lengua","3ESO-1","3","Evaluacion T3","5.10"
"alejandro-delgado-herrera@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Ingles","3ESO-1","1","Evaluacion T1","7.48"
"alejandro-delgado-herrera@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Ingles","3ESO-1","2","Evaluacion T2","10.00"
"alejandro-delgado-herrera@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Ingles","3ESO-1","3","Evaluacion T3","10.00"
"nuria-perez-cruz@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Fisica","3ESO-1","1","Evaluacion T1","3.08"
"nuria-perez-cruz@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Fisica","3ESO-1","2","Evaluacion T2","6.31"
"nuria-perez-cruz@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Fisica","3ESO-1","3","Evaluacion T3","7.32"
"roberto-alonso-alvarez@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Historia","3ESO-1","1","Evaluacion T1","3.24"
"roberto-alonso-alvarez@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Historia","3ESO-1","2","Evaluacion T2","4.57"
"roberto-alonso-alvarez@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Historia","3ESO-1","3","Evaluacion T3","10.00"
"sandra-moreno-vargas@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Tecnologia","3ESO-1","1","Evaluacion T1","7.32"
"sandra-moreno-vargas@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Tecnologia","3ESO-1","2","Evaluacion T2","4.65"
"sandra-moreno-vargas@profesor.juego-02","valeria-ruiz-mora@alumno.juego-02","Tecnologia","3ESO-1","3","Evaluacion T3","4.89"
"pablo-vargas-mora@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Matematicas","3ESO-2","1","Evaluacion T1","7.28"
"pablo-vargas-mora@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Matematicas","3ESO-2","2","Evaluacion T2","3.36"
"pablo-vargas-mora@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Matematicas","3ESO-2","3","Evaluacion T3","7.20"
"cristina-fuentes-alonso@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Lengua","3ESO-2","1","Evaluacion T1","8.29"
"cristina-fuentes-alonso@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Lengua","3ESO-2","2","Evaluacion T2","5.46"
"cristina-fuentes-alonso@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Lengua","3ESO-2","3","Evaluacion T3","7.72"
"fernando-cruz-ramos@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Ingles","3ESO-2","1","Evaluacion T1","10.00"
"fernando-cruz-ramos@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Ingles","3ESO-2","2","Evaluacion T2","10.00"
"fernando-cruz-ramos@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Ingles","3ESO-2","3","Evaluacion T3","6.03"
"patricia-rodriguez-delgado@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Fisica","3ESO-2","1","Evaluacion T1","9.02"
"patricia-rodriguez-delgado@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Fisica","3ESO-2","2","Evaluacion T2","9.74"
"patricia-rodriguez-delgado@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Fisica","3ESO-2","3","Evaluacion T3","5.46"
"andres-gutierrez-romero@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Historia","3ESO-2","1","Evaluacion T1","10.00"
"andres-gutierrez-romero@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Historia","3ESO-2","2","Evaluacion T2","9.82"
"andres-gutierrez-romero@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Historia","3ESO-2","3","Evaluacion T3","4.57"
"pilar-molina-suarez@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Tecnologia","3ESO-2","1","Evaluacion T1","3.36"
"pilar-molina-suarez@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Tecnologia","3ESO-2","2","Evaluacion T2","4.77"
"pilar-molina-suarez@profesor.juego-02","oscar-cabrera-torres@alumno.juego-02","Tecnologia","3ESO-2","3","Evaluacion T3","8.29"
"antonio-serrano-reyes@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Matematicas","3ESO-3","1","Evaluacion T1","9.78"
"antonio-serrano-reyes@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Matematicas","3ESO-3","2","Evaluacion T2","3.32"
"antonio-serrano-reyes@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Matematicas","3ESO-3","3","Evaluacion T3","10.00"
"maria-vazquez-diaz@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Lengua","3ESO-3","1","Evaluacion T1","3.60"
"maria-vazquez-diaz@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Lengua","3ESO-3","2","Evaluacion T2","5.90"
"maria-vazquez-diaz@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Lengua","3ESO-3","3","Evaluacion T3","3.72"
"jose-martinez-castro@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Ingles","3ESO-3","1","Evaluacion T1","7.68"
"jose-martinez-castro@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Ingles","3ESO-3","2","Evaluacion T2","4.93"
"jose-martinez-castro@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Ingles","3ESO-3","3","Evaluacion T3","7.00"
"carmen-fernandez-munoz@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Fisica","3ESO-3","1","Evaluacion T1","7.32"
"carmen-fernandez-munoz@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Fisica","3ESO-3","2","Evaluacion T2","6.67"
"carmen-fernandez-munoz@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Fisica","3ESO-3","3","Evaluacion T3","6.51"
"manuel-torres-fernandez@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Historia","3ESO-3","1","Evaluacion T1","8.97"
"manuel-torres-fernandez@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Historia","3ESO-3","2","Evaluacion T2","5.74"
"manuel-torres-fernandez@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Historia","3ESO-3","3","Evaluacion T3","6.59"
"ana-castro-blanco@profesor.juego-02","sara-martinez-fuentes@alumno.juego-02","Tecnologia","3ESO-3","1","Evaluacion T1","5.18"
