"estudianteCorreo","asignaturaNombre","cursoNombre"
"marina-munoz-cabrera@alumno.juego-02","Ingles","1ESO-3"
"marina-munoz-cabrera@alumno.juego-02","Fisica","1ESO-3"
"marina-munoz-cabrera@alumno.juego-02","Historia","1ESO-3"
"marina-munoz-cabrera@alumno.juego-02","Tecnologia","1ESO-3"
"gonzalo-rodriguez-gomez@alumno.juego-02","Matematicas","1ESO-4"
"gonzalo-rodriguez-gomez@alumno.juego-02","Lengua","1ESO-4"
"gonzalo-rodriguez-gomez@alumno.juego-02","Ingles","1ESO-4"
"gonzalo-rodriguez-gomez@alumno.juego-02","Fisica","1ESO-4"
"gonzalo-rodriguez-gomez@alumno.juego-02","Historia","1ESO-4"
"gonzalo-rodriguez-gomez@alumno.juego-02","Tecnologia","1ESO-4"
"carla-dominguez-ramos@alumno.juego-02","Matematicas","2ESO-1"
"carla-dominguez-ramos@alumno.juego-02","Lengua","2ESO-1"
"carla-dominguez-ramos@alumno.juego-02","Ingles","2ESO-1"
"carla-dominguez-ramos@alumno.juego-02","Fisica","2ESO-1"
"carla-dominguez-ramos@alumno.juego-02","Historia","2ESO-1"
"carla-dominguez-ramos@alumno.juego-02","Tecnologia","2ESO-1"
"raul-medina-martinez@alumno.juego-02","Matematicas","2ESO-2"
"raul-medina-martinez@alumno.juego-02","Lengua","2ESO-2"
"raul-medina-martinez@alumno.juego-02","Ingles","2ESO-2"
"raul-medina-martinez@alumno.juego-02","Fisica","2ESO-2"
"raul-medina-martinez@alumno.juego-02","Historia","2ESO-2"
"raul-medina-martinez@alumno.juego-02","Tecnologia","2ESO-2"
"ines-cruz-moreno@alumno.juego-02","Matematicas","2ESO-3"
"ines-cruz-moreno@alumno.juego-02","Lengua","2ESO-3"
"ines-cruz-moreno@alumno.juego-02","Ingles","2ESO-3"
"ines-cruz-moreno@alumno.juego-02","Fisica","2ESO-3"
"ines-cruz-moreno@alumno.juego-02","Historia","2ESO-3"
"ines-cruz-moreno@alumno.juego-02","Tecnologia","2ESO-3"
"alberto-romero-munoz@alumno.juego-02","Matematicas","2ESO-4"
"alberto-romero-munoz@alumno.juego-02","Lengua","2ESO-4"
"alberto-romero-munoz@alumno.juego-02","Ingles","2ESO-4"
"alberto-romero-munoz@alumno.juego-02","Fisica","2ESO-4"
"alberto-romero-munoz@alumno.juego-02","Historia","2ESO-4"
"alberto-romero-munoz@alumno.juego-02","Tecnologia","2ESO-4"
"sofia-blanco-alvarez@alumno.juego-02","Matematicas","3ESO-1"
"sofia-blanco-alvarez@alumno.juego-02","Lengua","3ESO-1"
"sofia-blanco-alvarez@alumno.juego-02","Ingles","3ESO-1"
"sofia-blanco-alvarez@alumno.juego-02","Fisica","3ESO-1"
"sofia-blanco-alvarez@alumno.juego-02","Historia","3ESO-1"
"sofia-blanco-alvarez@alumno.juego-02","Tecnologia","3ESO-1"
"daniel-fuentes-santos@alumno.juego-02","Matematicas","3ESO-2"
"daniel-fuentes-santos@alumno.juego-02","Lengua","3ESO-2"
"daniel-fuentes-santos@alumno.juego-02","Ingles","3ESO-2"
"daniel-fuentes-santos@alumno.juego-02","Fisica","3ESO-2"
"daniel-fuentes-santos@alumno.juego-02","Historia","3ESO-2"
"daniel-fuentes-santos@alumno.juego-02","Tecnologia","3ESO-2"
"paula-sanchez-rodriguez@alumno.juego-02","Matematicas","3ESO-3"
"paula-sanchez-rodriguez@alumno.juego-02","Lengua","3ESO-3"
"paula-sanchez-rodriguez@alumno.juego-02","Ingles","3ESO-3"
"paula-sanchez-rodriguez@alumno.juego-02","Fisica","3ESO-3"
"paula-sanchez-rodriguez@alumno.juego-02","Historia","3ESO-3"
"paula-sanchez-rodriguez@alumno.juego-02","Tecnologia","3ESO-3"
"adrian-jimenez-suarez@alumno.juego-02","Matematicas","3ESO-4"
"adrian-jimenez-suarez@alumno.juego-02","Lengua","3ESO-4"
"adrian-jimenez-suarez@alumno.juego-02","Ingles","3ESO-4"
"adrian-jimenez-suarez@alumno.juego-02","Fisica","3ESO-4"
"adrian-jimenez-suarez@alumno.juego-02","Historia","3ESO-4"
"adrian-jimenez-suarez@alumno.juego-02","Tecnologia","3ESO-4"
"lucia-vargas-garcia@alumno.juego-02","Matematicas","4ESO-1"
"lucia-vargas-garcia@alumno.juego-02","Lengua","4ESO-1"
"lucia-vargas-garcia@alumno.juego-02","Ingles","4ESO-1"
"lucia-vargas-garcia@alumno.juego-02","Fisica","4ESO-1"
"lucia-vargas-garcia@alumno.juego-02","Historia","4ESO-1"
"lucia-vargas-garcia@alumno.juego-02","Tecnologia","4ESO-1"
"hugo-reyes-dominguez@alumno.juego-02","Matematicas","4ESO-2"
"hugo-reyes-dominguez@alumno.juego-02","Lengua","4ESO-2"
"hugo-reyes-dominguez@alumno.juego-02","Ingles","4ESO-2"
"hugo-reyes-dominguez@alumno.juego-02","Fisica","4ESO-2"
"hugo-reyes-dominguez@alumno.juego-02","Historia","4ESO-2"
"hugo-reyes-dominguez@alumno.juego-02","Tecnologia","4ESO-2"
"mia-gomez-vazquez@alumno.juego-02","Matematicas","4ESO-3"
"mia-gomez-vazquez@alumno.juego-02","Lengua","4ESO-3"
"mia-gomez-vazquez@alumno.juego-02","Ingles","4ESO-3"
"mia-gomez-vazquez@alumno.juego-02","Fisica","4ESO-3"
"mia-gomez-vazquez@alumno.juego-02","Historia","4ESO-3"
"mia-gomez-vazquez@alumno.juego-02","Tecnologia","4ESO-3"
"marcos-moreno-alonso@alumno.juego-02","Matematicas","4ESO-4"
"marcos-moreno-alonso@alumno.juego-02","Lengua","4ESO-4"
"marcos-moreno-alonso@alumno.juego-02","Ingles","4ESO-4"
"marcos-moreno-alonso@alumno.juego-02","Fisica","4ESO-4"
"marcos-moreno-alonso@alumno.juego-02","Historia","4ESO-4"
"marcos-moreno-alonso@alumno.juego-02","Tecnologia","4ESO-4"
"valeria-santos-medina@alumno.juego-02","Matematicas","1BACH-1"
"valeria-santos-medina@alumno.juego-02","Lengua","1BACH-1"
"valeria-santos-medina@alumno.juego-02","Ingles","1BACH-1"
"valeria-santos-medina@alumno.juego-02","Fisica","1BACH-1"
"valeria-santos-medina@alumno.juego-02","Historia","1BACH-1"
"valeria-santos-medina@alumno.juego-02","Tecnologia","1BACH-1"
"oscar-garcia-gonzalez@alumno.juego-02","Matematicas","1BACH-2"
"oscar-garcia-gonzalez@alumno.juego-02","Lengua","1BACH-2"
"oscar-garcia-gonzalez@alumno.juego-02","Ingles","1BACH-2"
"oscar-garcia-gonzalez@alumno.juego-02","Fisica","1BACH-2"
"oscar-garcia-gonzalez@alumno.juego-02","Historia","1BACH-2"
"oscar-garcia-gonzalez@alumno.juego-02","Tecnologia","1BACH-2"
"sara-alonso-castro@alumno.juego-02","Matematicas","1BACH-3"
"sara-alonso-castro@alumno.juego-02","Lengua","1BACH-3"
"sara-alonso-castro@alumno.juego-02","Ingles","1BACH-3"
"sara-alonso-castro@alumno.juego-02","Fisica","1BACH-3"
"sara-alonso-castro@alumno.juego-02","Historia","1BACH-3"
"sara-alonso-castro@alumno.juego-02","Tecnologia","1BACH-3"
"alejandro-castro-cruz@alumno.juego-02","Matematicas","2BACH-1"
"alejandro-castro-cruz@alumno.juego-02","Lengua","2BACH-1"
"alejandro-castro-cruz@alumno.juego-02","Ingles","2BACH-1"
"alejandro-castro-cruz@alumno.juego-02","Fisica","2BACH-1"
"alejandro-castro-cruz@alumno.juego-02","Historia","2BACH-1"
"alejandro-castro-cruz@alumno.juego-02","Tecnologia","2BACH-1"
"emma-ortega-navarro@alumno.juego-02","Matematicas","2BACH-2"
"emma-ortega-navarro@alumno.juego-02","Lengua","2BACH-2"
"emma-ortega-navarro@alumno.juego-02","Ingles","2BACH-2"
"emma-ortega-navarro@alumno.juego-02","Fisica","2BACH-2"
"emma-ortega-navarro@alumno.juego-02","Historia","2BACH-2"
"emma-ortega-navarro@alumno.juego-02","Tecnologia","2BACH-2"
"martin-perez-ortega@alumno.juego-02","Matematicas","2BACH-3"
"martin-perez-ortega@alumno.juego-02","Lengua","2BACH-3"
"martin-perez-ortega@alumno.juego-02","Ingles","2BACH-3"
"martin-perez-ortega@alumno.juego-02","Fisica","2BACH-3"
"martin-perez-ortega@alumno.juego-02","Historia","2BACH-3"
"martin-perez-ortega@alumno.juego-02","Tecnologia","2BACH-3"
"claudia-torres-romero@alumno.juego-02","Matematicas","1ESO-1"
"claudia-torres-romero@alumno.juego-02","Lengua","1ESO-1"
"claudia-torres-romero@alumno.juego-02","Ingles","1ESO-1"
"claudia-torres-romero@alumno.juego-02","Fisica","1ESO-1"
"claudia-torres-romero@alumno.juego-02","Historia","1ESO-1"
"claudia-torres-romero@alumno.juego-02","Tecnologia","1ESO-1"
"sergio-herrera-serrano@alumno.juego-02","Matematicas","1ESO-2"
"sergio-herrera-serrano@alumno.juego-02","Lengua","1ESO-2"
"sergio-herrera-serrano@alumno.juego-02","Ingles","1ESO-2"
"sergio-herrera-serrano@alumno.juego-02","Fisica","1ESO-2"
"sergio-herrera-serrano@alumno.juego-02","Historia","1ESO-2"
"sergio-herrera-serrano@alumno.juego-02","Tecnologia","1ESO-2"
"noa-delgado-perez@alumno.juego-02","Matematicas","1ESO-3"
"noa-delgado-perez@alumno.juego-02","Lengua","1ESO-3"
"noa-delgado-perez@alumno.juego-02","Ingles","1ESO-3"
"noa-delgado-perez@alumno.juego-02","Fisica","1ESO-3"
"noa-delgado-perez@alumno.juego-02","Historia","1ESO-3"
"noa-delgado-perez@alumno.juego-02","Tecnologia","1ESO-3"
"diego-fernandez-blanco@alumno.juego-02","Matematicas","1ESO-4"
"diego-fernandez-blanco@alumno.juego-02","Lengua","1ESO-4"
"diego-fernandez-blanco@alumno.juego-02","Ingles","1ESO-4"
"diego-fernandez-blanco@alumno.juego-02","Fisica","1ESO-4"
"diego-fernandez-blanco@alumno.juego-02","Historia","1ESO-4"
"diego-fernandez-blanco@alumno.juego-02","Tecnologia","1ESO-4"
"alba-ruiz-mora@alumno.juego-02","Matematicas","2ESO-1"
"alba-ruiz-mora@alumno.juego-02","Lengua","2ESO-1"
"alba-ruiz-mora@alumno.juego-02","Ingles","2ESO-1"
"alba-ruiz-mora@alumno.juego-02","Fisica","2ESO-1"
"alba-ruiz-mora@alumno.juego-02","Historia","2ESO-1"
"alba-ruiz-mora@alumno.juego-02","Tecnologia","2ESO-1"
"ivan-cabrera-torres@alumno.juego-02","Matematicas","2ESO-2"
"ivan-cabrera-torres@alumno.juego-02","Lengua","2ESO-2"
"ivan-cabrera-torres@alumno.juego-02","Ingles","2ESO-2"
"ivan-cabrera-torres@alumno.juego-02","Fisica","2ESO-2"
"ivan-cabrera-torres@alumno.juego-02","Historia","2ESO-2"
"ivan-cabrera-torres@alumno.juego-02","Tecnologia","2ESO-2"
"irene-martinez-fuentes@alumno.juego-02","Matematicas","2ESO-3"
"irene-martinez-fuentes@alumno.juego-02","Lengua","2ESO-3"
"irene-martinez-fuentes@alumno.juego-02","Ingles","2ESO-3"
"irene-martinez-fuentes@alumno.juego-02","Fisica","2ESO-3"
"irene-martinez-fuentes@alumno.juego-02","Historia","2ESO-3"
"irene-martinez-fuentes@alumno.juego-02","Tecnologia","2ESO-3"
"rafael-alvarez-diaz@alumno.juego-02","Matematicas","2ESO-4"
"rafael-alvarez-diaz@alumno.juego-02","Lengua","2ESO-4"
"rafael-alvarez-diaz@alumno.juego-02","Ingles","2ESO-4"
"rafael-alvarez-diaz@alumno.juego-02","Fisica","2ESO-4"
"rafael-alvarez-diaz@alumno.juego-02","Historia","2ESO-4"
"rafael-alvarez-diaz@alumno.juego-02","Tecnologia","2ESO-4"
"leire-suarez-herrera@alumno.juego-02","Matematicas","3ESO-1"
"leire-suarez-herrera@alumno.juego-02","Lengua","3ESO-1"
"leire-suarez-herrera@alumno.juego-02","Ingles","3ESO-1"
"leire-suarez-herrera@alumno.juego-02","Fisica","3ESO-1"
"leire-suarez-herrera@alumno.juego-02","Historia","3ESO-1"
"leire-suarez-herrera@alumno.juego-02","Tecnologia","3ESO-1"
"ruben-vazquez-sanchez@alumno.juego-02","Matematicas","3ESO-2"
"ruben-vazquez-sanchez@alumno.juego-02","Lengua","3ESO-2"
"ruben-vazquez-sanchez@alumno.juego-02","Ingles","3ESO-2"
"ruben-vazquez-sanchez@alumno.juego-02","Fisica","3ESO-2"
"ruben-vazquez-sanchez@alumno.juego-02","Historia","3ESO-2"
"ruben-vazquez-sanchez@alumno.juego-02","Tecnologia","3ESO-2"
"marina-gonzalez-molina@alumno.juego-02","Matematicas","3ESO-3"
"marina-gonzalez-molina@alumno.juego-02","Lengua","3ESO-3"
"marina-gonzalez-molina@alumno.juego-02","Ingles","3ESO-3"
"marina-gonzalez-molina@alumno.juego-02","Fisica","3ESO-3"
"marina-gonzalez-molina@alumno.juego-02","Historia","3ESO-3"
"marina-gonzalez-molina@alumno.juego-02","Tecnologia","3ESO-3"
"gonzalo-navarro-delgado@alumno.juego-02","Matematicas","3ESO-4"
"gonzalo-navarro-delgado@alumno.juego-02","Lengua","3ESO-4"
"gonzalo-navarro-delgado@alumno.juego-02","Ingles","3ESO-4"
"gonzalo-navarro-delgado@alumno.juego-02","Fisica","3ESO-4"
"gonzalo-navarro-delgado@alumno.juego-02","Historia","3ESO-4"
"gonzalo-navarro-delgado@alumno.juego-02","Tecnologia","3ESO-4"
"carla-serrano-jimenez@alumno.juego-02","Matematicas","4ESO-1"
"carla-serrano-jimenez@alumno.juego-02","Lengua","4ESO-1"
"carla-serrano-jimenez@alumno.juego-02","Ingles","4ESO-1"
"carla-serrano-jimenez@alumno.juego-02","Fisica","4ESO-1"
"carla-serrano-jimenez@alumno.juego-02","Historia","4ESO-1"
"carla-serrano-jimenez@alumno.juego-02","Tecnologia","4ESO-1"
"raul-mora-flores@alumno.juego-02","Matematicas","4ESO-2"
"raul-mora-flores@alumno.juego-02","Lengua","4ESO-2"
"raul-mora-flores@alumno.juego-02","Ingles","4ESO-2"
"raul-mora-flores@alumno.juego-02","Fisica","4ESO-2"
"raul-mora-flores@alumno.juego-02","Historia","4ESO-2"
"raul-mora-flores@alumno.juego-02","Tecnologia","4ESO-2"
"ines-diaz-fernandez@alumno.juego-02","Matematicas","4ESO-3"
"ines-diaz-fernandez@alumno.juego-02","Lengua","4ESO-3"
"ines-diaz-fernandez@alumno.juego-02","Ingles","4ESO-3"
"ines-diaz-fernandez@alumno.juego-02","Fisica","4ESO-3"
"ines-diaz-fernandez@alumno.juego-02","Historia","4ESO-3"
"ines-diaz-fernandez@alumno.juego-02","Tecnologia","4ESO-3"
"alberto-molina-vargas@alumno.juego-02","Matematicas","4ESO-4"
"alberto-molina-vargas@alumno.juego-02","Lengua","4ESO-4"
"alberto-molina-vargas@alumno.juego-02","Ingles","4ESO-4"
"alberto-molina-vargas@alumno.juego-02","Fisica","4ESO-4"
"alberto-molina-vargas@alumno.juego-02","Historia","4ESO-4"
"alberto-molina-vargas@alumno.juego-02","Tecnologia","4ESO-4"
"sofia-flores-lopez@alumno.juego-02","Matematicas","1BACH-1"
"sofia-flores-lopez@alumno.juego-02","Lengua","1BACH-1"
"sofia-flores-lopez@alumno.juego-02","Ingles","1BACH-1"
"sofia-flores-lopez@alumno.juego-02","Fisica","1BACH-1"
"sofia-flores-lopez@alumno.juego-02","Historia","1BACH-1"
"sofia-flores-lopez@alumno.juego-02","Tecnologia","1BACH-1"
"daniel-lopez-ruiz@alumno.juego-02","Matematicas","1BACH-2"
"daniel-lopez-ruiz@alumno.juego-02","Lengua","1BACH-2"
"daniel-lopez-ruiz@alumno.juego-02","Ingles","1BACH-2"
"daniel-lopez-ruiz@alumno.juego-02","Fisica","1BACH-2"
"daniel-lopez-ruiz@alumno.juego-02","Historia","1BACH-2"
"daniel-lopez-ruiz@alumno.juego-02","Tecnologia","1BACH-2"
"paula-gutierrez-reyes@alumno.juego-02","Matematicas","1BACH-3"
"paula-gutierrez-reyes@alumno.juego-02","Lengua","1BACH-3"
"paula-gutierrez-reyes@alumno.juego-02","Ingles","1BACH-3"
"paula-gutierrez-reyes@alumno.juego-02","Fisica","1BACH-3"
"paula-gutierrez-reyes@alumno.juego-02","Historia","1BACH-3"
"paula-gutierrez-reyes@alumno.juego-02","Tecnologia","1BACH-3"
"adrian-ramos-gutierrez@alumno.juego-02","Matematicas","2BACH-1"
"adrian-ramos-gutierrez@alumno.juego-02","Lengua","2BACH-1"
"adrian-ramos-gutierrez@alumno.juego-02","Ingles","2BACH-1"
"adrian-ramos-gutierrez@alumno.juego-02","Fisica","2BACH-1"
"adrian-ramos-gutierrez@alumno.juego-02","Historia","2BACH-1"
"adrian-ramos-gutierrez@alumno.juego-02","Tecnologia","2BACH-1"
"lucia-munoz-cabrera@alumno.juego-02","Matematicas","2BACH-2"
"lucia-munoz-cabrera@alumno.juego-02","Lengua","2BACH-2"
"lucia-munoz-cabrera@alumno.juego-02","Ingles","2BACH-2"
"lucia-munoz-cabrera@alumno.juego-02","Fisica","2BACH-2"
"lucia-munoz-cabrera@alumno.juego-02","Historia","2BACH-2"
"lucia-munoz-cabrera@alumno.juego-02","Tecnologia","2BACH-2"
"hugo-rodriguez-gomez@alumno.juego-02","Matematicas","2BACH-3"
"hugo-rodriguez-gomez@alumno.juego-02","Lengua","2BACH-3"
"hugo-rodriguez-gomez@alumno.juego-02","Ingles","2BACH-3"
"hugo-rodriguez-gomez@alumno.juego-02","Fisica","2BACH-3"
"hugo-rodriguez-gomez@alumno.juego-02","Historia","2BACH-3"
