"profesorCorreo","asignaturaNombre","cursoNombre","trimestre","tareaNombre"
"antonio-dominguez-rodriguez@profesor.juego-02","Matematicas","2ESO-2","2","Evaluacion T2"
"antonio-dominguez-rodriguez@profesor.juego-02","Matematicas","2ESO-2","3","Evaluacion T3"
"maria-ramos-ruiz@profesor.juego-02","Lengua","2ESO-2","1","Evaluacion T1"
"maria-ramos-ruiz@profesor.juego-02","Lengua","2ESO-2","2","Evaluacion T2"
"maria-ramos-ruiz@profesor.juego-02","Lengua","2ESO-2","3","Evaluacion T3"
"jose-flores-fuentes@profesor.juego-02","Ingles","2ESO-2","1","Evaluacion T1"
"jose-flores-fuentes@profesor.juego-02","Ingles","2ESO-2","2","Evaluacion T2"
"jose-flores-fuentes@profesor.juego-02","Ingles","2ESO-2","3","Evaluacion T3"
"carmen-mora-gonzalez@profesor.juego-02","Fisica","2ESO-2","1","Evaluacion T1"
"carmen-mora-gonzalez@profesor.juego-02","Fisica","2ESO-2","2","Evaluacion T2"
"carmen-mora-gonzalez@profesor.juego-02","Fisica","2ESO-2","3","Evaluacion T3"
"manuel-gonzalez-moreno@profesor.juego-02","Historia","2ESO-2","1","Evaluacion T1"
"manuel-gonzalez-moreno@profesor.juego-02","Historia","2ESO-2","2","Evaluacion T2"
"manuel-gonzalez-moreno@profesor.juego-02","Historia","2ESO-2","3","Evaluacion T3"
"ana-alvarez-flores@profesor.juego-02","Tecnologia","2ESO-2","1","Evaluacion T1"
"ana-alvarez-flores@profesor.juego-02","Tecnologia","2ESO-2","2","Evaluacion T2"
"ana-alvarez-flores@profesor.juego-02","Tecnologia","2ESO-2","3","Evaluacion T3"
"francisco-ruiz-perez@profesor.juego-02","Matematicas","2ESO-3","1","Evaluacion T1"
"francisco-ruiz-perez@profesor.juego-02","Matematicas","2ESO-3","2","Evaluacion T2"
"francisco-ruiz-perez@profesor.juego-02","Matematicas","2ESO-3","3","Evaluacion T3"
"laura-herrera-dominguez@profesor.juego-02","Lengua","2ESO-3","1","Evaluacion T1"
"laura-herrera-dominguez@profesor.juego-02","Lengua","2ESO-3","2","Evaluacion T2"
"laura-herrera-dominguez@profesor.juego-02","Lengua","2ESO-3","3","Evaluacion T3"
"david-ortega-cabrera@profesor.juego-02","Ingles","2ESO-3","1","Evaluacion T1"
"david-ortega-cabrera@profesor.juego-02","Ingles","2ESO-3","2","Evaluacion T2"
"david-ortega-cabrera@profesor.juego-02","Ingles","2ESO-3","3","Evaluacion T3"
"elena-garcia-sanchez@profesor.juego-02","Fisica","2ESO-3","1","Evaluacion T1"
"elena-garcia-sanchez@profesor.juego-02","Fisica","2ESO-3","2","Evaluacion T2"
"elena-garcia-sanchez@profesor.juego-02","Fisica","2ESO-3","3","Evaluacion T3"
"pedro-gomez-navarro@profesor.juego-02","Historia","2ESO-3","1","Evaluacion T1"
"pedro-gomez-navarro@profesor.juego-02","Historia","2ESO-3","2","Evaluacion T2"
"pedro-gomez-navarro@profesor.juego-02","Historia","2ESO-3","3","Evaluacion T3"
"isabel-jimenez-santos@profesor.juego-02","Tecnologia","2ESO-3","1","Evaluacion T1"
"isabel-jimenez-santos@profesor.juego-02","Tecnologia","2ESO-3","2","Evaluacion T2"
"isabel-jimenez-santos@profesor.juego-02","Tecnologia","2ESO-3","3","Evaluacion T3"
"javier-blanco-lopez@profesor.juego-02","Matematicas","2ESO-4","1","Evaluacion T1"
"javier-blanco-lopez@profesor.juego-02","Matematicas","2ESO-4","2","Evaluacion T2"
"javier-blanco-lopez@profesor.juego-02","Matematicas","2ESO-4","3","Evaluacion T3"
"lucia-medina-torres@profesor.juego-02","Lengua","2ESO-4","1","Evaluacion T1"
"lucia-medina-torres@profesor.juego-02","Lengua","2ESO-4","2","Evaluacion T2"
"lucia-medina-torres@profesor.juego-02","Lengua","2ESO-4","3","Evaluacion T3"
"miguel-munoz-medina@profesor.juego-02","Ingles","2ESO-4","1","Evaluacion T1"
"miguel-munoz-medina@profesor.juego-02","Ingles","2ESO-4","2","Evaluacion T2"
"miguel-munoz-medina@profesor.juego-02","Ingles","2ESO-4","3","Evaluacion T3"
"rosa-lopez-martinez@profesor.juego-02","Fisica","2ESO-4","1","Evaluacion T1"
"rosa-lopez-martinez@profesor.juego-02","Fisica","2ESO-4","2","Evaluacion T2"
"rosa-lopez-martinez@profesor.juego-02","Fisica","2ESO-4","3","Evaluacion T3"
"carlos-diaz-jimenez@profesor.juego-02","Historia","2ESO-4","1","Evaluacion T1"
"carlos-diaz-jimenez@profesor.juego-02","Historia","2ESO-4","2","Evaluacion T2"
"carlos-diaz-jimenez@profesor.juego-02","Historia","2ESO-4","3","Evaluacion T3"
"marta-navarro-serrano@profesor.juego-02","Tecnologia","2ESO-4","1","Evaluacion T1"
"marta-navarro-serrano@profesor.juego-02","Tecnologia","2ESO-4","2","Evaluacion T2"
"marta-navarro-serrano@profesor.juego-02","Tecnologia","2ESO-4","3","Evaluacion T3"
"alvaro-suarez-garcia@profesor.juego-02","Matematicas","3ESO-1","1","Evaluacion T1"
"alvaro-suarez-garcia@profesor.juego-02","Matematicas","3ESO-1","2","Evaluacion T2"
"alvaro-suarez-garcia@profesor.juego-02","Matematicas","3ESO-1","3","Evaluacion T3"
"beatriz-cabrera-gutierrez@profesor.juego-02","Lengua","3ESO-1","1","Evaluacion T1"
"beatriz-cabrera-gutierrez@profesor.juego-02","Lengua","3ESO-1","2","Evaluacion T2"
"beatriz-cabrera-gutierrez@profesor.juego-02","Lengua","3ESO-1","3","Evaluacion T3"
"alejandro-delgado-herrera@profesor.juego-02","Ingles","3ESO-1","1","Evaluacion T1"
"alejandro-delgado-herrera@profesor.juego-02","Ingles","3ESO-1","2","Evaluacion T2"
"alejandro-delgado-herrera@profesor.juego-02","Ingles","3ESO-1","3","Evaluacion T3"
"nuria-perez-cruz@profesor.juego-02","Fisica","3ESO-1","1","Evaluacion T1"
"nuria-perez-cruz@profesor.juego-02","Fisica","3ESO-1","2","Evaluacion T2"
"nuria-perez-cruz@profesor.juego-02","Fisica","3ESO-1","3","Evaluacion T3"
"roberto-alonso-alvarez@profesor.juego-02","Historia","3ESO-1","1","Evaluacion T1"
"roberto-alonso-alvarez@profesor.juego-02","Historia","3ESO-1","2","Evaluacion T2"
"roberto-alonso-alvarez@profesor.juego-02","Historia","3ESO-1","3","Evaluacion T3"
"sandra-moreno-vargas@profesor.juego-02","Tecnologia","3ESO-1","1","Evaluacion T1"
"sandra-moreno-vargas@profesor.juego-02","Tecnologia","3ESO-1","2","Evaluacion T2"
"sandra-moreno-vargas@profesor.juego-02","Tecnologia","3ESO-1","3","Evaluacion T3"
"pablo-vargas-mora@profesor.juego-02","Matematicas","3ESO-2","1","Evaluacion T1"
"pablo-vargas-mora@profesor.juego-02","Matematicas","3ESO-2","2","Evaluacion T2"
"pablo-vargas-mora@profesor.juego-02","Matematicas","3ESO-2","3","Evaluacion T3"
"cristina-fuentes-alonso@profesor.juego-02","Lengua","3ESO-2","1","Evaluacion T1"
"cristina-fuentes-alonso@profesor.juego-02","Lengua","3ESO-2","2","Evaluacion T2"
"cristina-fuentes-alonso@profesor.juego-02","Lengua","3ESO-2","3","Evaluacion T3"
"fernando-cruz-ramos@profesor.juego-02","Ingles","3ESO-2","1","Evaluacion T1"
"fernando-cruz-ramos@profesor.juego-02","Ingles","3ESO-2","2","Evaluacion T2"
"fernando-cruz-ramos@profesor.juego-02","Ingles","3ESO-2","3","Evaluacion T3"
"patricia-rodriguez-delgado@profesor.juego-02","Fisica","3ESO-2","1","Evaluacion T1"
"patricia-rodriguez-delgado@profesor.juego-02","Fisica","3ESO-2","2","Evaluacion T2"
"patricia-rodriguez-delgado@profesor.juego-02","Fisica","3ESO-2","3","Evaluacion T3"
"andres-gutierrez-romero@profesor.juego-02","Historia","3ESO-2","1","Evaluacion T1"
"andres-gutierrez-romero@profesor.juego-02","Historia","3ESO-2","2","Evaluacion T2"
"andres-gutierrez-romero@profesor.juego-02","Historia","3ESO-2","3","Evaluacion T3"
"pilar-molina-suarez@profesor.juego-02","Tecnologia","3ESO-2","1","Evaluacion T1"
"pilar-molina-suarez@profesor.juego-02","Tecnologia","3ESO-2","2","Evaluacion T2"
"pilar-molina-suarez@profesor.juego-02","Tecnologia","3ESO-2","3","Evaluacion T3"
"antonio-serrano-reyes@profesor.juego-02","Matematicas","3ESO-3","1","Evaluacion T1"
"antonio-serrano-reyes@profesor.juego-02","Matematicas","3ESO-3","2","Evaluacion T2"
"antonio-serrano-reyes@profesor.juego-02","Matematicas","3ESO-3","3","Evaluacion T3"
"maria-vazquez-diaz@profesor.juego-02","Lengua","3ESO-3","1","Evaluacion T1"
"maria-vazquez-diaz@profesor.juego-02","Lengua","3ESO-3","2","Evaluacion T2"
"maria-vazquez-diaz@profesor.juego-02","Lengua","3ESO-3","3","Evaluacion T3"
"jose-martinez-castro@profesor.juego-02","Ingles","3ESO-3","1","Evaluacion T1"
"jose-martinez-castro@profesor.juego-02","Ingles","3ESO-3","2","Evaluacion T2"
"jose-martinez-castro@profesor.juego-02","Ingles","3ESO-3","3","Evaluacion T3"
"carmen-fernandez-munoz@profesor.juego-02","Fisica","3ESO-3","1","Evaluacion T1"
"carmen-fernandez-munoz@profesor.juego-02","Fisica","3ESO-3","2","Evaluacion T2"
"carmen-fernandez-munoz@profesor.juego-02","Fisica","3ESO-3","3","Evaluacion T3"
"manuel-torres-fernandez@profesor.juego-02","Historia","3ESO-3","1","Evaluacion T1"
"manuel-torres-fernandez@profesor.juego-02","Historia","3ESO-3","2","Evaluacion T2"
"manuel-torres-fernandez@profesor.juego-02","Historia","3ESO-3","3","Evaluacion T3"
"ana-castro-blanco@profesor.juego-02","Tecnologia","3ESO-3","1","Evaluacion T1"
"ana-castro-blanco@profesor.juego-02","Tecnologia","3ESO-3","2","Evaluacion T2"
"ana-castro-blanco@profesor.juego-02","Tecnologia","3ESO-3","3","Evaluacion T3"
"francisco-santos-vazquez@profesor.juego-02","Matematicas","3ESO-4","1","Evaluacion T1"
"francisco-santos-vazquez@profesor.juego-02","Matematicas","3ESO-4","2","Evaluacion T2"
"francisco-santos-vazquez@profesor.juego-02","Matematicas","3ESO-4","3","Evaluacion T3"
"laura-reyes-gomez@profesor.juego-02","Lengua","3ESO-4","1","Evaluacion T1"
"laura-reyes-gomez@profesor.juego-02","Lengua","3ESO-4","2","Evaluacion T2"
"laura-reyes-gomez@profesor.juego-02","Lengua","3ESO-4","3","Evaluacion T3"
"david-sanchez-molina@profesor.juego-02","Ingles","3ESO-4","1","Evaluacion T1"
"david-sanchez-molina@profesor.juego-02","Ingles","3ESO-4","2","Evaluacion T2"
"david-sanchez-molina@profesor.juego-02","Ingles","3ESO-4","3","Evaluacion T3"
"elena-romero-ortega@profesor.juego-02","Fisica","3ESO-4","1","Evaluacion T1"
"elena-romero-ortega@profesor.juego-02","Fisica","3ESO-4","2","Evaluacion T2"
"elena-romero-ortega@profesor.juego-02","Fisica","3ESO-4","3","Evaluacion T3"
"pedro-dominguez-rodriguez@profesor.juego-02","Historia","3ESO-4","1","Evaluacion T1"
"pedro-dominguez-rodriguez@profesor.juego-02","Historia","3ESO-4","2","Evaluacion T2"
"pedro-dominguez-rodriguez@profesor.juego-02","Historia","3ESO-4","3","Evaluacion T3"
"isabel-ramos-ruiz@profesor.juego-02","Tecnologia","3ESO-4","1","Evaluacion T1"
"isabel-ramos-ruiz@profesor.juego-02","Tecnologia","3ESO-4","2","Evaluacion T2"
"isabel-ramos-ruiz@profesor.juego-02","Tecnologia","3ESO-4","3","Evaluacion T3"
"javier-flores-fuentes@profesor.juego-02","Matematicas","4ESO-1","1","Evaluacion T1"
"javier-flores-fuentes@profesor.juego-02","Matematicas","4ESO-1","2","Evaluacion T2"
"javier-flores-fuentes@profesor.juego-02","Matematicas","4ESO-1","3","Evaluacion T3"
"lucia-mora-gonzalez@profesor.juego-02","Lengua","4ESO-1","1","Evaluacion T1"
"lucia-mora-gonzalez@profesor.juego-02","Lengua","4ESO-1","2","Evaluacion T2"
"lucia-mora-gonzalez@profesor.juego-02","Lengua","4ESO-1","3","Evaluacion T3"
"miguel-gonzalez-moreno@profesor.juego-02","Ingles","4ESO-1","1","Evaluacion T1"
"miguel-gonzalez-moreno@profesor.juego-02","Ingles","4ESO-1","2","Evaluacion T2"
"miguel-gonzalez-moreno@profesor.juego-02","Ingles","4ESO-1","3","Evaluacion T3"
"rosa-alvarez-flores@profesor.juego-02","Fisica","4ESO-1","1","Evaluacion T1"
"rosa-alvarez-flores@profesor.juego-02","Fisica","4ESO-1","2","Evaluacion T2"
"rosa-alvarez-flores@profesor.juego-02","Fisica","4ESO-1","3","Evaluacion T3"
"carlos-ruiz-perez@profesor.juego-02","Historia","4ESO-1","1","Evaluacion T1"
"carlos-ruiz-perez@profesor.juego-02","Historia","4ESO-1","2","Evaluacion T2"
"carlos-ruiz-perez@profesor.juego-02","Historia","4ESO-1","3","Evaluacion T3"
"marta-herrera-dominguez@profesor.juego-02","Tecnologia","4ESO-1","1","Evaluacion T1"
"marta-herrera-dominguez@profesor.juego-02","Tecnologia","4ESO-1","2","Evaluacion T2"
"marta-herrera-dominguez@profesor.juego-02","Tecnologia","4ESO-1","3","Evaluacion T3"
"alvaro-ortega-cabrera@profesor.juego-02","Matematicas","4ESO-2","1","Evaluacion T1"
"alvaro-ortega-cabrera@profesor.juego-02","Matematicas","4ESO-2","2","Evaluacion T2"
"alvaro-ortega-cabrera@profesor.juego-02","Matematicas","4ESO-2","3","Evaluacion T3"
"beatriz-garcia-sanchez@profesor.juego-02","Lengua","4ESO-2","1","Evaluacion T1"
"beatriz-garcia-sanchez@profesor.juego-02","Lengua","4ESO-2","2","Evaluacion T2"
"beatriz-garcia-sanchez@profesor.juego-02","Lengua","4ESO-2","3","Evaluacion T3"
"alejandro-gomez-navarro@profesor.juego-02","Ingles","4ESO-2","1","Evaluacion T1"
"alejandro-gomez-navarro@profesor.juego-02","Ingles","4ESO-2","2","Evaluacion T2"
"alejandro-gomez-navarro@profesor.juego-02","Ingles","4ESO-2","3","Evaluacion T3"
"nuria-jimenez-santos@profesor.juego-02","Fisica","4ESO-2","1","Evaluacion T1"
"nuria-jimenez-santos@profesor.juego-02","Fisica","4ESO-2","2","Evaluacion T2"
"nuria-jimenez-santos@profesor.juego-02","Fisica","4ESO-2","3","Evaluacion T3"
"roberto-blanco-lopez@profesor.juego-02","Historia","4ESO-2","1","Evaluacion T1"
"roberto-blanco-lopez@profesor.juego-02","Historia","4ESO-2","2","Evaluacion T2"
"roberto-blanco-lopez@profesor.juego-02","Historia","4ESO-2","3","Evaluacion T3"
"sandra-medina-torres@profesor.juego-02","Tecnologia","4ESO-2","1","Evaluacion T1"
"sandra-medina-torres@profesor.juego-02","Tecnologia","4ESO-2","2","Evaluacion T2"
"sandra-medina-torres@profesor.juego-02","Tecnologia","4ESO-2","3","Evaluacion T3"
"pablo-munoz-medina@profesor.juego-02","Matematicas","4ESO-3","1","Evaluacion T1"
"pablo-munoz-medina@profesor.juego-02","Matematicas","4ESO-3","2","Evaluacion T2"
"pablo-munoz-medina@profesor.juego-02","Matematicas","4ESO-3","3","Evaluacion T3"
"cristina-lopez-martinez@profesor.juego-02","Lengua","4ESO-3","1","Evaluacion T1"
"cristina-lopez-martinez@profesor.juego-02","Lengua","4ESO-3","2","Evaluacion T2"
"cristina-lopez-martinez@profesor.juego-02","Lengua","4ESO-3","3","Evaluacion T3"
"fernando-diaz-jimenez@profesor.juego-02","Ingles","4ESO-3","1","Evaluacion T1"
"fernando-diaz-jimenez@profesor.juego-02","Ingles","4ESO-3","2","Evaluacion T2"
"fernando-diaz-jimenez@profesor.juego-02","Ingles","4ESO-3","3","Evaluacion T3"
"patricia-navarro-serrano@profesor.juego-02","Fisica","4ESO-3","1","Evaluacion T1"
"patricia-navarro-serrano@profesor.juego-02","Fisica","4ESO-3","2","Evaluacion T2"
"patricia-navarro-serrano@profesor.juego-02","Fisica","4ESO-3","3","Evaluacion T3"
"andres-suarez-garcia@profesor.juego-02","Historia","4ESO-3","1","Evaluacion T1"
"andres-suarez-garcia@profesor.juego-02","Historia","4ESO-3","2","Evaluacion T2"
"andres-suarez-garcia@profesor.juego-02","Historia","4ESO-3","3","Evaluacion T3"
"pilar-cabrera-gutierrez@profesor.juego-02","Tecnologia","4ESO-3","1","Evaluacion T1"
"pilar-cabrera-gutierrez@profesor.juego-02","Tecnologia","4ESO-3","2","Evaluacion T2"
"pilar-cabrera-gutierrez@profesor.juego-02","Tecnologia","4ESO-3","3","Evaluacion T3"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","4ESO-4","1","Evaluacion T1"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","4ESO-4","2","Evaluacion T2"
"antonio-gomez-navarro@profesor.juego-02","Matematicas","4ESO-4","3","Evaluacion T3"
"maria-jimenez-santos@profesor.juego-02","Lengua","4ESO-4","1","Evaluacion T1"
"maria-jimenez-santos@profesor.juego-02","Lengua","4ESO-4","2","Evaluacion T2"
"maria-jimenez-santos@profesor.juego-02","Lengua","4ESO-4","3","Evaluacion T3"
"jose-blanco-lopez@profesor.juego-02","Ingles","4ESO-4","1","Evaluacion T1"
"jose-blanco-lopez@profesor.juego-02","Ingles","4ESO-4","2","Evaluacion T2"
"jose-blanco-lopez@profesor.juego-02","Ingles","4ESO-4","3","Evaluacion T3"
"carmen-medina-torres@profesor.juego-02","Fisica","4ESO-4","1","Evaluacion T1"
"carmen-medina-torres@profesor.juego-02","Fisica","4ESO-4","2","Evaluacion T2"
"carmen-medina-torres@profesor.juego-02","Fisica","4ESO-4","3","Evaluacion T3"
"manuel-munoz-medina@profesor.juego-02","Historia","4ESO-4","1","Evaluacion T1"
"manuel-munoz-medina@profesor.juego-02","Historia","4ESO-4","2","Evaluacion T2"
"manuel-munoz-medina@profesor.juego-02","Historia","4ESO-4","3","Evaluacion T3"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","4ESO-4","1","Evaluacion T1"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","4ESO-4","2","Evaluacion T2"
"ana-lopez-martinez@profesor.juego-02","Tecnologia","4ESO-4","3","Evaluacion T3"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1BACH-1","1","Evaluacion T1"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1BACH-1","2","Evaluacion T2"
"francisco-diaz-jimenez@profesor.juego-02","Matematicas","1BACH-1","3","Evaluacion T3"
"laura-navarro-serrano@profesor.juego-02","Lengua","1BACH-1","1","Evaluacion T1"
"laura-navarro-serrano@profesor.juego-02","Lengua","1BACH-1","2","Evaluacion T2"
"laura-navarro-serrano@profesor.juego-02","Lengua","1BACH-1","3","Evaluacion T3"
"david-suarez-garcia@profesor.juego-02","Ingles","1BACH-1","1","Evaluacion T1"
"david-suarez-garcia@profesor.juego-02","Ingles","1BACH-1","2","Evaluacion T2"
"david-suarez-garcia@profesor.juego-02","Ingles","1BACH-1","3","Evaluacion T3"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1BACH-1","1","Evaluacion T1"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1BACH-1","2","Evaluacion T2"
"elena-cabrera-gutierrez@profesor.juego-02","Fisica","1BACH-1","3","Evaluacion T3"
